IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),FinalDescription,AnimalGroupParent,PropertyType,SpecialServiceTypeCategory,SpecialServiceType,Borough,StnGroundName,AnimalClass,Code,London
5688091,09/01/2009 11:18,2009,2008/09,Special Service,1,1,255,255,"RUNNING CALL TO DOG WITH HEAD TRAPPED IN KENNEL, B15",Dog,Other animal boarding/breeding establishment,Other animal assistance,Animal assistance involving livestock - Other action,Barking And Dagenham,Dagenham,Mammal,00AB,Outer London
5724091,09/01/2009 12:40,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH CAT STUCK UP TREE, B15",Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Richmond Upon Thames,Richmond,Mammal,00BD,Outer London
5770091,09/01/2009 13:43,2009,2008/09,Special Service,1,1,255,255,"CAT STUCK UP TREE,B15",Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Croydon,Woodside,Mammal,00AH,Outer London
5789091,09/01/2009 14:30,2009,2008/09,Special Service,1,1,255,255,"INJURED CAT UP TREE,B15",Cat,Wasteland ,Animal rescue from height,Animal rescue from height - Domestic pet,Lewisham,New Cross,Mammal,00AZ,Inner London
5797091,09/01/2009 14:39,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN BRAMBLES,B15",Dog,Woodland/forest - broadleaf/hardwood ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Lambeth,Norbury,Mammal,00AY,Inner London
6259091,10/01/2009 09:35,2009,2008/09,Special Service,1,1,255,255,"AFA ACTUATING IN HOSTEL,A1",Unknown - Domestic Animal Or Pet,Park ,Animal rescue from height,Animal rescue from height - Domestic pet,Southwark,Old Kent Road,Mammal,00BE,Inner London
6270091,10/01/2009 10:09,2009,2008/09,Special Service,1,1,255,255,"INJURED DOG FOLLOWING RTA,B0",Dog,Road surface/pavement ,Other animal assistance,Animal assistance involving livestock - Other action,Croydon,Purley,Mammal,00AH,Outer London
6317091,10/01/2009 11:27,2009,2008/09,Special Service,1,1,255,255,"INJURED CAT STUCK UP TREE, B15",Cat,Park ,Animal rescue from height,Animal rescue from height - Domestic pet,Southwark,Old Kent Road,Mammal,00BE,Inner London
6353091,10/01/2009 12:26,2009,2008/09,Special Service,1,1,255,255,"KITTEN TRAPPED UP PIPE IN KITCHEN,B15",Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Tower Hamlets,Poplar,Mammal,00BG,Inner London
6355091,10/01/2009 12:32,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN HOLE,B15",Dog,Road surface/pavement ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Harrow,Harrow,Mammal,00AQ,Outer London
6378091,10/01/2009 13:05,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED IN WALL,B15",Cat,Private garage ,Other animal assistance,Animal assistance involving livestock - Other action,Barking And Dagenham,Barking,Mammal,00AB,Outer London
6400091,10/01/2009 13:28,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN POND,B15",Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Barnet,Hendon,Mammal,00AC,Outer London
6530091,10/01/2009 16:38,2009,2008/09,Special Service,1,1,255,255,"INJURED CAT STUCK UP TREE, B15",Cat,Cycle path/public footpath/bridleway ,Animal rescue from height,Animal rescue from height - Domestic pet,Tower Hamlets,Poplar,Mammal,00BG,Inner London
6970091,11/01/2009 10:11,2009,2008/09,Special Service,2,3,255,765,"DOG  STUCK IN LAKE,J15",Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Westminster,Kensington,Mammal,00BK,Inner London
7051091,11/01/2009 12:32,2009,2008/09,Special Service,1,1,255,255,"SWAN STUCK ON ROOF,B15",Bird,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Bird,Havering,Hornchurch,Bird,00AR,Outer London
7613091,12/01/2009 13:10,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSCPA WITH CAT ON ROOF, B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Barking And Dagenham,Barking,Mammal,00AB,Outer London
7720091,12/01/2009 16:39,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN RAILINGS,B15",Dog,Park ,Other animal assistance,Animal assistance involving livestock - Other action,Barking And Dagenham,Barking,Mammal,00AB,Outer London
8648091,14/01/2009 06:38,2009,2008/09,Special Service,1,1,255,255,"DOG WITH HEAD TRAPPED IN SPEAKER,B15",Dog,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Lewisham,Bromley,Mammal,00AZ,Inner London
9252091,15/01/2009 12:38,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH BIRD TRAPPED IN TREE BY FOOT,B15",Bird,Wasteland ,Animal rescue from height,Animal rescue from height - Bird,Lambeth,Clapham,Bird,00AY,Inner London
10299091,17/01/2009 11:40,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN DRAIN UNDER BANDSTAND,B15",Dog,Public toilets ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Hounslow,Chiswick,Mammal,00AT,Outer London
10470091,17/01/2009 18:08,2009,2008/09,Special Service,1,2,255,510,"DOG TRAPPED IN FENCING,B15",Dog,Railings,Other animal assistance,Animal assistance involving livestock - Other action,Ealing,Southall,Mammal,00AJ,Outer London
10829091,18/01/2009 11:08,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA TO RESCUE TRAPPED CAT, B15",Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Camden,Kentish Town,Mammal,00AG,Inner London
10976091,18/01/2009 16:19,2009,2008/09,Special Service,1,1,255,255,"CAT UP TREE,B15",Cat,Park ,Animal rescue from height,Animal rescue from height - Domestic pet,Havering,Harold Hill,Mammal,00AR,Outer London
12317091,21/01/2009 00:43,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSCPA OFFICER WITH DOG TRAPPED IN BABY GATE,B15",Dog,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Barking And Dagenham,Dagenham,Mammal,00AB,Outer London
12451091,21/01/2009 10:33,2009,2008/09,Special Service,2,3,255,765,"ASSIST RSPCA WITH RESCUING FOX, J15",Fox,Beach ,Animal rescue from water,Wild animal rescue from water or mud,Lambeth,Lambeth,Mammal,00AY,Inner London
12533091,21/01/2009 14:04,2009,2008/09,Special Service,1,2,255,510,"SMALL DOG STUCK DOWN HOLE IN PARK,B15",Dog,Park ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Richmond Upon Thames,Kingston,Mammal,00BD,Outer London
12770091,21/01/2009 21:55,2009,2008/09,Special Service,1,1,255,255,"FOX TRAPPED IN FENCE,B15",Fox,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Kingston Upon Thames,New Malden,Mammal,00AX,Outer London
13245091,22/01/2009 21:35,2009,2008/09,Special Service,1,1,255,255,"BIRD IN CHIMNEY,B15",Bird,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Harrow,Stanmore,Bird,00AQ,Outer London
14002091,24/01/2009 10:31,2009,2008/09,Special Service,1,1,255,255,"CAT STUCK UNDER FLOORBOARDS,B15",Cat,Tenement Building ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Richmond Upon Thames,Hammersmith,Mammal,00BD,Outer London
14652091,25/01/2009 10:26,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED ON/BY RAIL LINE, B15",Cat,Railway ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Islington,Holloway,Mammal,00AU,Inner London
14691091,25/01/2009 12:11,2009,2008/09,Special Service,2,3,255,765,"DOG IN CANAL,J15",Dog,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Hounslow,Heston,Mammal,00AT,Outer London
14784091,25/01/2009 15:27,2009,2008/09,Special Service,1,1,255,255,"ANIMAL IN DISTRESS,B15",Unknown - Domestic Animal Or Pet,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Domestic pet,Croydon,Woodside,Mammal,00AH,Outer London
14796091,25/01/2009 16:01,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN RAILINGS, B15",Dog,Park ,Other animal assistance,Animal assistance - Lift heavy livestock animal,Sutton,Sutton,Mammal,00BF,Outer London
15664091,27/01/2009 10:49,2009,2008/09,Special Service,1,1,255,255,"SQUIRREL WITH LEG TRAPPED IN GUTTERING,B15",Squirrel,Vehicle Repair Workshop,Animal rescue from height,Wild animal rescue from height,Lewisham,Deptford,Mammal,00AZ,Inner London
15682091,27/01/2009 11:21,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED IN CHIMNEY,B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Camden,Euston,Mammal,00AG,Inner London
15865091,27/01/2009 17:18,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN FENCING,B15",Dog,Football stadium ,Other animal assistance,Animal assistance involving livestock - Other action,Greenwich,Eltham,Mammal,00AL,Outer London
16245091,28/01/2009 13:40,2009,2008/09,Special Service,1,2,255,510,"CAT STUCK IN TREE, B15",Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Waltham Forest,Leytonstone,Mammal,00BH,Outer London
16271091,28/01/2009 14:41,2009,2008/09,Special Service,1,1,255,255,"KITTEN IN DISTRESS ON ROOF, B15",Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Bromley,Beckenham,Mammal,00AF,Outer London
17262091,30/01/2009 10:43,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA GAIN ACCESS,B15",Unknown - Heavy Livestock Animal,Other Dwelling ,Other animal assistance,Animal assistance involving livestock - Other action,Newham,Stratford,Mammal,00BB,Inner London
17297091,30/01/2009 12:17,2009,2008/09,Special Service,1,1,255,255,"DOG WITH HEAD TRAPPED IN CHAIR,B15",Dog,Purpose Built Flats/Maisonettes - 10 or more storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Southwark,Old Kent Road,Mammal,00BE,Inner London
17633091,30/01/2009 23:36,2009,2008/09,Special Service,1,1,255,255,"DOG STUCK IN MUD ON SHORELINE  ,J15",Dog,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Bexley,Erith,Mammal,00AD,Outer London
17783091,31/01/2009 09:47,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED DOWN MANHOLE COVER,B15",Dog,Pipe or drain ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Haringey,Hornsey,Mammal,00AP,Inner London
18369091,01/02/2009 08:48,2009,2008/09,Special Service,1,1,255,255,"TO ASSIST RSPCA WITH  CAT TRAPPED ON ROOF,B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Hillingdon,Hillingdon,Mammal,00AS,Outer London
18386091,01/02/2009 09:30,2009,2008/09,Special Service,1,1,255,255,"FOX TRAPPED IN FOOTBALL NET,B15",Fox,Park ,Animal rescue from below ground,Wild animal rescue from below ground,Barnet,Mill Hill,Mammal,00AC,Outer London
20027091,04/02/2009 00:25,2009,2008/09,Special Service,1,1,255,255,"FOX TRAPPED IN BASEMENT GARDEN,B15",Fox,Wasteland ,Animal rescue from below ground,Wild animal rescue from below ground,Hammersmith And Fulham,Hammersmith,Mammal,00AN,Inner London
20379091,04/02/2009 17:47,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED BETWEEN WALLS,B15",Cat,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Kensington And Chelsea,Kensington,Mammal,00AW,Inner London
21166091,06/02/2009 09:08,2009,2008/09,Special Service,2,3,255,765,"DOG IN LAKE,J15",Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Epping Forest,Essex,Mammal,,Inner London
21319091,06/02/2009 14:42,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH KITTEN UP TREE ,B15",Cat,Cycle path/public footpath/bridleway ,Animal rescue from height,Animal rescue from height - Domestic pet,Lambeth,West Norwood,Mammal,00AY,Inner London
21401091,06/02/2009 17:14,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED BETWEEN KITCHEN CUPBOARDS,B15",Cat,Converted Flat/Maisonette - Up to 2 storeys ,Animal rescue from water,Animal rescue from water - Domestic pet,Lambeth,Brixton,Mammal,00AY,Inner London
21458091,06/02/2009 19:29,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED BETWEEN KITCHEN CUPBOARDS,B15",Cat,Converted Flat/Maisonette - Up to 2 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Lambeth,Brixton,Mammal,00AY,Inner London
21760091,07/02/2009 11:12,2009,2008/09,Special Service,1,1,255,255,"PIGEON IN PRECARIOUS POSITION, B15",Bird,Tree scrub ,Animal rescue from below ground,Animal rescue from below ground - Bird,Westminster,Soho,Bird,00BK,Outer London
21807091,07/02/2009 12:43,2009,2008/09,Special Service,1,1,255,255,"LARGE ANIMAL RESCUE,B1, B17",Unknown - Heavy Livestock Animal,Other outdoor location ,Other animal assistance,Animal assistance involving livestock - Other action,Kingston Upon Thames,Surbiton,Mammal,00AX,Inner London
22115091,08/02/2009 00:59,2009,2008/09,Special Service,1,1,255,255,"CAT STUCK BEHIND WASHING MACHINE,B15",Cat,Other Residential Home ,Other animal assistance,Animal assistance involving livestock - Other action,Islington,Islington,Mammal,00AU,Outer London
22276091,08/02/2009 12:08,2009,2008/09,Special Service,1,1,255,255,"DOG IN WATER, J15",Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Waltham Forest,Chingford,Mammal,00BH,Inner London
26040091,14/02/2009 11:38,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN BARBED WIRE,B15",Dog,Cycle path/public footpath/bridleway ,Other animal assistance,Animal assistance involving livestock - Other action,Haringey,Hornsey,Mammal,00AP,Inner London
26715091,15/02/2009 15:53,2009,2008/09,Special Service,1,1,255,255,"SWAN IN DISTRESS, J15",Bird,River/canal ,Animal rescue from water,Animal rescue from water - Bird,Tower Hamlets,Shadwell,Bird,00BG,Outer London
27109091,16/02/2009 11:13,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH TRAPPED PIGEON , B15",Bird,Single shop ,Animal rescue from height,Animal rescue from height - Bird,Croydon,Purley,Bird,00AH,Outer London
27805091,17/02/2009 13:23,2009,2008/09,Special Service,2,5,255,1275,"KITTEN STUCK IN MUD,J15",Cat,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Bexley,Erith,Mammal,00AD,Outer London
27898091,17/02/2009 16:13,2009,2008/09,Special Service,1,1,255,255,"PIGEON TRAPPED,B15",Bird,Tree scrub ,Animal rescue from height,Animal rescue from height - Bird,Hounslow,Heston,Bird,00AT,Outer London
28382091,18/02/2009 13:22,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH GULL STUCK IN TREE  ,B15",Bird,Park ,Animal rescue from below ground,Animal rescue from below ground - Bird,Brent,Park Royal,Bird,00AE,Outer London
29403091,20/02/2009 09:35,2009,2008/09,Special Service,1,1,255,255,"INJURED CAT ON ROOF,B15",Cat,Purpose Built Flats/Maisonettes - 10 or more storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Barking And Dagenham,Dagenham,Mammal,00AB,Inner London
30133091,21/02/2009 14:08,2009,2008/09,Special Service,1,1,255,255,"FOX TRAPPED ABOVE WATER, B15",Fox,Bridge,Animal rescue from height,Wild animal rescue from height,Lambeth,Lambeth,Mammal,00AY,Outer London
30194091,21/02/2009 16:12,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH CAT IN TREE,B15",Cat,Tree scrub ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Barnet,Barnet,Mammal,00AC,Outer London
30836091,22/02/2009 13:17,2009,2008/09,Special Service,1,1,255,255,"TO ASSIST RSPCA WITH GULL IN TREE TRAPPED BY FISHING LINE,B2",Bird,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Bird,Merton,New Malden,Bird,00BA,Inner London
30981091,22/02/2009 17:22,2009,2008/09,Special Service,1,1,255,255,"SMALL ANIMAL RESCUE,B15",Unknown - Domestic Animal Or Pet,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Lewisham,Bromley,Mammal,00AZ,Inner London
169092,23/02/2009 15:28,2009,2008/09,Special Service,1,1,255,255,"KITTEN TRAPPED BETWEEN WALL AND WOOD PANEL,B15",Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Newham,Stratford,Mammal,00BB,Outer London
31317091,23/02/2009 16:56,2009,2008/09,Special Service,1,1,255,255,"BIRD TRAPPED IN APEX OF HOUSE, B15",Bird,House - single occupancy ,Animal rescue from height,Animal rescue from height - Bird,Waltham Forest,Woodford,Bird,00BH,Outer London
32555091,25/02/2009 22:18,2009,2008/09,Special Service,1,2,255,510,"CAT WITH PAWS TRAPPED IN WINDOW, B15",Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Greenwich,Plumstead,Mammal,00AL,Outer London
33526091,27/02/2009 16:35,2009,2008/09,Special Service,1,1,255,255,"BIRD TRAPPED IN WIRING,B15",Bird,House - single occupancy ,Animal rescue from height,Animal rescue from height - Bird,Barking And Dagenham,Barking,Bird,00AB,Inner London
34598091,01/03/2009 08:31,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED UNDER CAR,B15",Dog,Car ,Other animal assistance,Animal assistance involving livestock - Other action,Camden,Euston,Mammal,00AG,Inner London
35246091,02/03/2009 14:29,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED IN NARROW TUBE ON ROOF, B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Newham,East Ham,Mammal,00BB,Inner London
35738091,03/03/2009 11:05,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED BETWEEN CHIMNEY POTS, B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Newham,East Ham,Mammal,00BB,Inner London
35781091,03/03/2009 12:54,2009,2008/09,Special Service,1,1,255,255,"PIGEON TRAPPED IN SHELTER, B15",Bird,Railway building - other,Animal rescue from height,Animal rescue from height - Bird,Newham,Plaistow,Bird,00BB,Outer London
36590091,04/03/2009 18:36,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN WATER,J15",Dog,River/canal ,Animal rescue from water,Wild animal rescue from water or mud,Merton,Wimbledon,Mammal,00BA,Inner London
36694091,04/03/2009 21:44,2009,2008/09,Special Service,1,1,255,255,"DOG IN PRECARIOUS POSITIION,B2",Dog,Converted Flat/Maisonettes - 3 or more storeys,Animal rescue from height,Animal rescue from height - Domestic pet,Tower Hamlets,Whitechapel,Mammal,00BG,Inner London
36729091,04/03/2009 23:35,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN STREAM, B15",Dog,Canal/riverbank vegetation ,Animal rescue from water,Animal rescue from water - Domestic pet,Lewisham,Lee Green,Mammal,00AZ,Inner London
37589091,06/03/2009 15:22,2009,2008/09,Special Service,1,2,255,510,"ASSIST RSPCA WITH CAT IN TREE, B15",Cat,Tree scrub ,Animal rescue from water,Animal rescue from water - Domestic pet,Newham,East Ham,Mammal,00BB,Inner London
37752091,06/03/2009 20:25,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED DOWN HOLE,B15",Dog,Domestic garden (vegetation not equipment) ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Kensington And Chelsea,Kensington,Mammal,00AW,Outer London
38115091,07/03/2009 15:00,2009,2008/09,Special Service,1,1,255,255,"DOG STUCK ON WINDOWSILL OUTSIDE,B15",Dog,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Hillingdon,Hayes,Mammal,00AS,Inner London
38412091,07/03/2009 22:52,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED IN BOARDED UP HOUSE,B15",Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Southwark,New Cross,Mammal,00BE,Outer London
39040091,08/03/2009 23:54,2009,2008/09,Special Service,1,1,255,255,"CAT STUCK IN BASEMENT AREA OF SHOP ,B15",Cat,Other outdoor structures ,Other animal assistance,Animal assistance involving livestock - Other action,Bromley,Beckenham,Mammal,00AF,Outer London
39688091,10/03/2009 10:18,2009,2008/09,Special Service,1,2,255,510,"CAT TRAPPED UNDER BONNET OF CAR,B15",Cat,Car ,Other animal assistance,Animal assistance involving livestock - Other action,Redbridge,Woodford,Mammal,00BC,Outer London
40866091,12/03/2009 11:51,2009,2008/09,Special Service,2,3,255,765,"HORSE STUCK IN MUD IN FIELD,B17",Horse,Other outdoor location ,Other animal assistance,Animal assistance - Lift heavy livestock animal,Barking And Dagenham,Dagenham,Mammal,00AB,Outer London
40929091,12/03/2009 13:51,2009,2008/09,Special Service,1,1,255,255,"CAT STUCK IN TREE,B0",Cat,"Nurseries, market garden ",Animal rescue from height,Animal rescue from height - Domestic pet,Redbridge,Hainault,Mammal,00BC,Inner London
40946091,12/03/2009 14:36,2009,2008/09,Special Service,1,1,255,255,"CAT STUCK ON ROOF,B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Newham,Plaistow,Mammal,00BB,Inner London
42324091,14/03/2009 20:06,2009,2008/09,Special Service,1,2,255,510,"BIRD TRAPPED IN GUTTERING,B15",Bird,Other retail  ,Animal rescue from height,Animal rescue from height - Bird,Lambeth,Clapham,Bird,00AY,Outer London
42388091,14/03/2009 21:29,2009,2008/09,Special Service,1,1,255,255,"ANIMAL TRAPPED IN CUPBOARD                       ,B15",Unknown - Heavy Livestock Animal,Private Garden Shed ,Other animal assistance,Animal assistance involving livestock - Other action,Bromley,Eltham,Mammal,00AF,Outer London
42771091,15/03/2009 14:59,2009,2008/09,Special Service,1,1,255,255,"PIGEON TRAPPED IN MESH,B15",Bird,House - single occupancy ,Animal rescue from height,Animal rescue from height - Bird,Hillingdon,Hayes,Bird,00AS,Outer London
42805091,15/03/2009 15:55,2009,2008/09,Special Service,1,1,255,255,"RUNNING CALL TO SWAN TRAPPED IN NETTING, J15",Bird,Park ,Animal rescue from water,Animal rescue from water - Bird,Bexley,Bexley,Bird,00AD,Outer London
43668091,16/03/2009 19:56,2009,2008/09,Special Service,1,1,255,255,"CAT TRAPPED BETWEEN WALL AND FENCE,B15",Cat,Converted Flat/Maisonette - Up to 2 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Waltham Forest,Walthamstow,Mammal,00BH,Inner London
44528091,18/03/2009 09:37,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH CAT IN ROOF,B15",Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Tower Hamlets,Bethnal Green,Mammal,00BG,Inner London
44576091,18/03/2009 11:23,2009,2008/09,Special Service,1,2,255,510,"ASSIST RSPCA WITH SMALL ANIMAL RESCUE,B15",Bird,House - single occupancy ,Animal rescue from height,Animal rescue from height - Bird,Newham,Stratford,Bird,00BB,Outer London
44593091,18/03/2009 11:46,2009,2008/09,Special Service,1,1,255,255,"SHEEP IN RIVER,J15,WR1",Sheep,River/canal ,Animal rescue from water,Animal rescue from water - Farm animal,Waltham Forest,Chingford,Mammal,00BH,Outer London
45058091,18/03/2009 22:07,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH CAT TRAPPED BETWEEN 2 WALLS,B15",Cat,Domestic garden (vegetation not equipment) ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Richmond Upon Thames,Twickenham,Mammal,00BD,Outer London
